"Text","Type"
"మొడ్డ కుడువు ","vulgar"
"కుత్త ముయ్యి లంజా కొడక ","vulgar"
"బుర్ర దెంగింది","vulgar"
"ఎందుకురా కక్రుర్తి చెడ దెంగావు కదరా","vulgar"
"గుద్దని నాలుగు రకాలుగా కోస్తా","vulgar"
"కథలు పడకు బిడ్డ కోసి కారం పుస్త కుత లూ","vulgar"
"నీ మొడ్డకి దండం రా దూత","vulgar"
" ని లంజ కథలు ఇక్కడ దెంగకు","vulgar"
"కుత్త ముయ్యి","vulgar"
"దెంగు వాడి మొడ్డ కుడువు","vulgar"
"నా లవడాలో  పంచాయతీ ","vulgar"
"ఎర్రి పూక   ","vulgar"
"లంజ ముండ ","vulgar"
"రేయ్ ఎర్రి పూక ","vulgar"
"రేపటి నుండి నాకు కనపడకు ఇంకోసారి కనపడితే కుత్త పగుల్తాది","vulgar"
"నా లవడా లో లవ్వు","vulgar"
"కథలు దెంగకు ","vulgar"
"దెంగుతా నీ మడ్డ ఎర్రి పూకుల చేస్తున్నావు ","vulgar"
"మందు ఎక్కువ అయ్యిందా లంజా కొడక ","vulgar"
"నాటు పూక  ","vulgar"
"మొడ్డగా ","vulgar"
"సుల్లిగా ","vulgar"
"అడ్రస్ పెట్టు నా కొడకా కుత్త  పగుల్తాది","vulgar"
"పోరా  పూక ","vulgar"
"పూక ","vulgar"
"నన్ను దెంగేయమంటారా ","vulgar"
"మోడ్డ గూడు రా","vulgar"
"దెంగేయ్ ","vulgar"
"పని చూసుకోరా పూక","vulgar"
"కుత్త  పగుల్తాది","vulgar"
"జఫ్ఫా నా కొడకా","vulgar"
"మొడ్డ ","vulgar"
"నీ నోట్లో నా మొడ్డ ","vulgar"
"లంజా కొడకా","vulgar"
"నీ గుద్దలో  నా మొడ్డ","vulgar"
"వాడి సుల్లి నోట్లో పెట్టుకో","vulgar"
"మొడ్డ లంజా కొడుకులు","vulgar"
"అందరి గుద్ద పగల దెంగుతాడు ","vulgar"
"నీ బుర్రలో ఇలాంటి ఎర్రి పూకు ఆలోచన ఎలా వస్తుంది  ","vulgar"
"గుద్ద బలిసి కొట్టుకుంటున్నావురా","vulgar"
"నీకన్నా పిచ్చి పూకోడు ఉండడు","vulgar"
"పొట్టి నా కొడకా గుద్ద మూసుకో","vulgar"
"అరేయ్ ముసలి మొడ్డ ","vulgar"
"దెంగేయ్ రా ఇక్కడ నుండి","vulgar"
"ఈ లంజా కొడుకు ఫోన్ లిఫ్ట్ చెయ్యడం లేదు","vulgar"
"ఎక్కువ మాట్లాడితే గుద్ద లో గుణపం దింపుతా","vulgar"
"ఎర్రి పూకులు మీ ఇద్దరు","vulgar"
"గుద్ద ముస్కోని జిందాబాద్ కొట్టు  ","vulgar"
"గుద్దలో తంతే గద్దలా ఎగురుతావ్  ","vulgar"
"ఆతులు ఎందిరా  ","vulgar"
"మరుసటి రోజు ఎలిమినేషన్ మ్యాచ్ జరగనుంది.","Normal"
"అయితే రాయల్ ఛాలెంజర్స్ బెంగళూరు ప్లేఆఫ్స్‌కు చేరుకుంటుందని.. లక్నోతో ఎలిమినేటర్ మ్యాచ్‌లో తలపడనుందని అభిమానులు బలంగా నమ్ముతున్నారు.","Normal"
"కర్ణాటక శాసనసభ ఎన్నికల్లో కాంగ్రెస్ విజయం తర్వాత.. ముఖ్యమంత్రి పదవి కోసం సిద్ధరామయ్య, డీకే శివకుమార్ మధ్య తీవ్ర పోటీ కొనసాగింది. కీలక పదవి కోసం సిద్ధూ- డీకే ఎడమొహం..పెడమొహంగా కనిపించారు. ","Normal"
" కానీ, చివరకు అధిష్ఠానం సిద్ధరామయ్యకే పదవి దక్కేలా డీకేను ఒప్పించి, వెనక్కి తగ్గించింది.","Normal"
"భాగ్య పథకాలతో బీపీఎల్‌ కుటుంబాలకు భరోసా అందించిన అదే కాంగ్రెస్‌ సర్కారు సరికొత్త హంగులతో మళ్లీ పాలన పగ్గాలు అందుకుంది.","Normal"
"గట్టి పోటీ నడుమ సిద్ధరామయ్యను సీఎం చేయటం వెనుక అధిష్ఠానం ఆశయం కూడా అదే. ","Normal"
"ఇప్పటికే సంక్షేమ, సుస్థిర పాలనానుభవం ఉన్న సిద్ధరామయ్య.. రాబోయే రెండేళ్లలో ప్రకటించిన 5 గ్యారెంటీ పథకాలను మరింత నిబద్ధతతో అమలు చేస్తారని అధిష్ఠానం సహా ప్రజలు కూడా ఆశగా ఎదురుచూస్తున్నారు.","Normal"
"సోషల్ ఇంజనీర్‌గా, మాస్ లీడర్‌గా గుర్తింపు పొందిన సిద్ధూ.. రాజకీయాల్లో పునర్నిర్మించని ఫ్యాక్షనిస్ట్‌గా, కానీ నిష్ణాతుడైన విధాన వ్యక్తి, సూక్ష్మమైన నిర్వాహకుడు కూడా.","Normal"
"తన రాజకీయ గురువు, మాజీ ప్రధాని హెచ్‌డి దేవెగౌడపై 2006లో తిరుగుబావుటా ఎగురవేసిన సిద్ధరామయ్య కాంగ్రెస్‌లో చేరారు.","Normal"
"బయటి నుంచి వచ్చిన 17 ఏళ్లపాటు పార్టీలో అధికారాన్ని అనుభవించారని రగిలిపోయే అంతర్గత ప్రత్యర్థులు సైతం ఆయన పనితీరును మాత్రం అంగీకరిస్తారు.","Normal"
"స్నేహితులను సంపాదించుకున్నంత సులువుగా శత్రువులను సంపాదించుకునే చురుకైన నాయకుడిని అంటారు.","Normal"
"జేడీ(ఎస్)-కాంగ్రెస్ సంకీర్ణ ప్రభుత్వం పతనమైనప్పుడు.. బీజేపీపై రాహుల్ గాంధీ గుడ్డిగా విమర్శలు గుప్పించలేదు. ","Normal"
"అప్పటి భాగ్య పథకాల సృష్టికర్త సిద్ధరామయ్య మళ్లీ ముఖ్యమంత్రి పీఠంపై కూర్చోగా, శక్తిమంతమైన డీకే శివకుమార్‌ డిప్యూటీ సీఎంగా పాలన పగ్గాలు అందుకున్నారు. ","Normal"
"వీరిద్దరి కలయికలో రాష్ట్రం సంక్షేమ రాజ్యం కాగలదని ప్రజలు భావిస్తున్నారు.","Normal"
"వేద జ్యోతిష్యశాస్త్రం ప్రకారం, ఐదు రాశి చక్రాల వారు సంపాదన విషయంలో చాలా స్పష్టతతో ఉంటారట. ","Normal"
"మనం న్యూస్ రాస్తే రూ.200.. లేకపోతే ఇట్టా రూ.2 వేలు వస్తాయ్.. అందుకే పెన్‌లో ఇంక్ ఎప్పుడూ వేస్ట్ చేయకూడదు.","Normal"
"అది రా నిజాయితీ అంటే మనం చేసే పనిలో లేకపోయినా.. పంచుకోవడంలో ఉండాలి.."" ఏంటిది రివ్యూ కోసం వస్తే డైలాగ్‌తో షురూ చేశాడు అనుకుంటుర్రా.. ","Normal"
"ఆంధ్రప్రదేశ్‌లోని మదనపల్లి ప్రెస్ క్లబ్ చుట్టూ ఈ కథ తిరుగుతుంది. ఉదయం లేవగానే అరుగు మీద కూర్చొని తప్పకుండా న్యూస్ పేపర్ చదివే జనాలు.. టీవీలో న్యూస్‌ చూసి అదే నిజం అనుకునే అమాయకత్వపు ఆలోచనల చుట్టూ ఈ కథనం నడుస్తుంది. ","Normal"
"వీళ్ల మధ్య చిన్న లవ్ ట్రాక్ నడుస్తూ ఉంటుంది. అయితే ఎక్కడ ఏ ప్రాబ్లమ్ వచ్చినా అక్కడి నుంచి సాయంత్రమయ్యే సరికి ప్రెస్ క్లబ్‌కు కవర్లు వస్తూ ఉంటాయి. కవర్లు అంటే ప్లాస్టిక్ కవర్లు అనుకున్నేరు","Normal"
